url,price_in_rp,title,address,district,city,property_type,land_size_m2,building_size_m2,bedrooms,bathrooms,carports
https://www.rumah123.com/properti/semarang-kampung-kali/dijual-cepat-termurah-rumah-ngantong-di-jl-mayjend-sutoyo-kampung-kali-semarang-luasnya-865m-hos40261603/,32000000000.0,Dijual Cepat (Termurah) Rumah Ngantong di Jl Mayjend Sutoyo (Kampung Kali) Semarang Luasnya 865M,"Kampung Kali, Semarang",Kampung Kali,Semarang,rumah,865.0,600.0,3.0,1.0,2.0
https://www.rumah123.com/properti/solo-banjarsari/rumah-mewah-modern-2lt-dekat-paragon-mall-mangkubumen-solo-hos15375654/,2200000000.0,Rumah Mewah 2 LT Baru Selangkah Mall Paragon Solo,"Banjarsari, Solo",Banjarsari,Solo,rumah,110.0,185.0,5.0,5.0,2.0
https://www.rumah123.com/properti/semarang-boja/rumah-dijual-beserta-toko-dekat-pasar-boja-kendal-semarang-hos18442616/,5500000000.0,Rumah Dijual Beserta Toko Dekat Pasar Boja Kendal Semarang,"Boja, Semarang",Boja,Semarang,rumah,1065.0,600.0,7.0,5.0,2.0
https://www.rumah123.com/properti/semarang-tembalang/rumah-luas-nyaman-tenang-dan-eksklusif-graha-estetika-dekat-tol-tembalang-hos41343245/,5800000000.0,Rumah Luas Nyaman Tenang dan Eksklusif Graha Estetika Dekat Tol Tembalang,"Tembalang, Semarang",Tembalang,Semarang,rumah,300.0,300.0,6.0,4.0,3.0
https://www.rumah123.com/properti/semarang-tembalang/rumah-dalam-cluster-bukit-kencana-jaya-bisa-jual-atau-sewa-hos41541700/,430000000.0,Rumah Dalam Cluster Bukit Kencana Jaya bisa Jual atau Sewa,"Tembalang, Semarang",Tembalang,Semarang,rumah,72.0,36.0,3.0,1.0,1.0
https://www.rumah123.com/properti/semarang-sambiroto/rumah-hook-tenang-dan-nyaman-bumi-wanamukti-sambiroto-tembalang-hos41563882/,950000000.0,Rumah Hook Tenang dan Nyaman Bumi Wanamukti Sambiroto Tembalang,"Sambiroto, Semarang",Sambiroto,Semarang,rumah,175.0,175.0,5.0,2.0,2.0
https://www.rumah123.com/properti/semarang-semarang-barat/rumah-di-perum-graha-padma-semarang-ls-7995-hos41225911/,1500000000.0,"Rumah di Perum Graha Padma , Semarang ( Ls 7995 )","Semarang Barat, Semarang",Semarang Barat,Semarang,rumah,120.0,120.0,3.0,1.0,
https://www.rumah123.com/properti/semarang-semarang-barat/rumah-di-daerah-semarang-barat-vn-7331-hos41225982/,1900000000.0,Rumah di Daerah Semarang Barat Vn 7331,"Semarang Barat, Semarang",Semarang Barat,Semarang,rumah,230.0,194.0,4.0,2.0,
https://www.rumah123.com/properti/semarang-semarang-barat/rumah-murah-view-di-daerah-simongan-semarang-wn-7159-hos41066436/,1200000000.0,"Rumah Murah+ View di Daerah Simongan, Semarang Wn 7159","Semarang Barat, Semarang",Semarang Barat,Semarang,rumah,234.0,120.0,4.0,2.0,2.0
https://www.rumah123.com/properti/tegal-tegal-timur/rumah-di-arhakim-tegal-tt-5659-hos15368760/,28000000000.0,"Rumah Asri, Luas, Tengah Kota di Ar. Hakim, Tegal Tt 5659","Tegal Timur, Tegal",Tegal Timur,Tegal,rumah,1850.0,1500.0,5.0,4.0,
https://www.rumah123.com/properti/semarang-kedungmundu/rumah-hunian-nyaman-tentara-pelajar-cocok-untuk-keluarga-besar-hos41519495/,9500000000.0,Rumah Hunian Nyaman & Tempat Usaha Tentara Pelajar Cocok untuk Keluarga Besar Lokasi Strategis,"Kedungmundu, Semarang",Kedungmundu,Semarang,rumah,449.0,300.0,4.0,4.0,2.0
https://www.rumah123.com/properti/semarang-bsb-city/rumah-mewah-asri-ada-swimmingpoll-di-hillago-bsb-city-2-menit-ke-sekolah-al-azhar-hos39137289/,16000000000.0,Rumah Mewah Asri Ada Swimmingpoll di Hillago Bsb City 2 Menit ke Sekolah Al Azhar,"BSB City, Semarang",BSB City,Semarang,rumah,400.0,408.0,3.0,5.0,3.0
https://www.rumah123.com/properti/semarang-semarang-barat/rumah-siap-huni-type-48120-semarang-konsep-villa-bali-lingkungan-eksklusif-dan-nyaman-lokasi-strategis-hos41507101/,990000000.0,"Rumah Siap Huni Type 48/120 Semarang - Konsep Villa Bali, Lingkungan Eksklusif dan Nyaman, Lokasi Strategis.","Semarang Barat, Semarang",Semarang Barat,Semarang,rumah,120.0,48.0,2.0,1.0,1.0
https://www.rumah123.com/properti/semarang-bsb-city/rumah-2-kamar-mulai-300jt-an-kpr-dp-5jt-all-in-di-perumahan-taman-kayangan-hos39082741/,378000000.0,Rumah 2 Kamar Mulai 300jt An Kpr Dp 5jt All In Di Perumahan Taman Kayangan,"BSB City, Semarang",BSB City,Semarang,rumah,60.0,32.0,2.0,1.0,1.0
https://www.rumah123.com/properti/semarang-gajah-mungkur/rumah-mewah-di-telagabodas-semi-furnished-ada-kolam-renang-hos40590998/,18000000000.0,Rumah Mewah di Telagabodas Semi Furnished Ada Kolam Renang,"Gajah Mungkur, Semarang",Gajah Mungkur,Semarang,rumah,560.0,800.0,7.0,6.0,5.0
https://www.rumah123.com/properti/semarang-candi-golf/rumah-mewah-semi-furnished-di-graha-candi-golf-hos40285304/,4500000000.0,Rumah Mewah Semi Furnished di Graha Candi Golf,"Candi Golf, Semarang",Candi Golf,Semarang,rumah,144.0,200.0,3.0,3.0,2.0
https://www.rumah123.com/properti/semarang-ngaliyan/rumah-mewah-cluster-amarilis-garden-gondorio-tol-ngaliyan-beringin-semarang-barat-mijen-hos41070535/,856000000.0,Rumah Mewah Cluster Amarilis Garden Gondorio Tol Ngaliyan Beringin Semarang Barat Mijen,"Ngaliyan, Semarang",Ngaliyan,Semarang,rumah,120.0,80.0,3.0,2.0,2.0
https://www.rumah123.com/properti/semarang-pudak-payung/cluster-banyumanik-de-villa-garden-2-pudak-payung-semarang-hos40624376/,658000000.0,Cluster Banyumanik De Villa Garden 2 Pudak Payung Semarang,"Pudak Payung, Semarang",Pudak Payung,Semarang,rumah,68.0,72.0,3.0,2.0,2.0
https://www.rumah123.com/properti/semarang-mijen/rumah-elit-mijen-bsb-dekat-uptown-mall-semarang-hos41068529/,870000000.0,Rumah Elit Mijen Bsb Dekat Uptown Mall Semarang,"Mijen, Semarang",Mijen,Semarang,rumah,120.0,92.0,3.0,3.0,1.0
https://www.rumah123.com/properti/semarang-mijen/rumah-mewah-murah-mijen-dekat-uptown-mall-bsb-semarang-hos41458193/,875000000.0,Rumah Mewah Murah Mijen Dekat Uptown Mall Bsb Semarang,"Mijen, Semarang",Mijen,Semarang,rumah,120.0,92.0,3.0,3.0,1.0
https://www.rumah123.com/properti/semarang-mijen/rumah-strategis-bsb-dekat-kampus-unika-bsb-semarang-hos41068156/,870000000.0,Rumah Strategis Bsb Dekat Kampus Unika Bsb Semarang,"Mijen, Semarang",Mijen,Semarang,rumah,121.0,92.0,3.0,3.0,1.0
https://www.rumah123.com/properti/semarang-bsb-city/rumah-mewah-di-puri-arga-golf-bsb-full-furnished-ada-kolam-renang-hos39306026/,21000000000.0,Rumah Mewah Di Puri Arga Golf Bsb Full Furnished Ada Kolam Renang,"BSB City, Semarang",BSB City,Semarang,rumah,600.0,900.0,6.0,7.0,4.0
https://www.rumah123.com/properti/semarang-tembalang/rumah-mewah-siap-huni-full-furnished-lokasi-dekat-kampus-undip-hos41585830/,7500000000.0,Rumah Mewah. Siap Huni. Full Furnished Lokasi Dekat Kampus Undip,"Tembalang, Semarang",Tembalang,Semarang,rumah,429.0,465.0,7.0,7.0,3.0
https://www.rumah123.com/properti/semarang-gunung-pati/rumah-murah-siap-huni-rumah-baru-lokasi-dekat-kampus-unnes-hos41585937/,1500000000.0,Rumah Murah. Siap Huni. Rumah Baru Lokasi Dekat Kampus Unnes,"Gunung Pati, Semarang",Gunung Pati,Semarang,rumah,150.0,150.0,3.0,2.0,2.0
https://www.rumah123.com/properti/semarang-ngaliyan/rumah-mewah-siap-huni-lokasi-dekat-kampus-uin-walisongo-hos41599435/,1000000000.0,Rumah Mewah. Siap Huni. Lokasi Dekat Kampus Uin Walisongo,"Ngaliyan, Semarang",Ngaliyan,Semarang,rumah,130.0,120.0,3.0,2.0,2.0
https://www.rumah123.com/properti/semarang-semarang-selatan/dijual-bangunan-di-jalan-utama-semarang-bisa-jadi-tempat-usaha-atau-rumah-hos40748008/,11500000000.0,"Dijual Bangunan di Jalan Utama Semarang, bisa Jadi Tempat Usaha atau Rumah","Semarang Selatan, Semarang",Semarang Selatan,Semarang,rumah,327.0,350.0,,,
https://www.rumah123.com/properti/semarang-semarang-selatan/rumah-elite-tenang-sunyi-di-bsb-city-dekat-danau-hos41207952/,1320000000.0,Rumah Elite Tenang Sunyi di Bsb City Dekat Danau,"Semarang Selatan, Semarang",Semarang Selatan,Semarang,rumah,143.0,100.0,3.0,2.0,2.0
https://www.rumah123.com/properti/semarang-graha-padma/rumah-full-furnished-mewah-di-graha-padma-hos40465664/,8950000000.0,Rumah Full Furnished Mewah di Graha Padma,"Graha Padma, Semarang",Graha Padma,Semarang,rumah,500.0,736.0,8.0,7.0,4.0
https://www.rumah123.com/properti/semarang-semarang-timur/rumah-besar-dan-luas-palebon-pedurungan-semarang-timur-hos40199433/,2400000000.0,Rumah Besar dan Luas Palebon Pedurungan Semarang Timur,"Semarang Timur, Semarang",Semarang Timur,Semarang,rumah,336.0,250.0,7.0,2.0,4.0
https://www.rumah123.com/properti/semarang-graha-padma/rumah-baru-gress-full-furnished-graha-padma-semarang-barat-hos39714136/,2100000000.0,Rumah Full Furnished Siap Huni Graha Padma Dekat Sekolah Karangturi,"Graha Padma, Semarang",Graha Padma,Semarang,rumah,96.0,98.0,3.0,3.0,1.0
https://www.rumah123.com/properti/semarang-pedurungan/rumah-2-lantai-di-mahesa-pedurungan-semarang-hos41152652/,3000000000.0,Rumah 2 Lantai di Mahesa Pedurungan Semarang,"Pedurungan, Semarang",Pedurungan,Semarang,rumah,400.0,429.0,5.0,5.0,1.0
https://www.rumah123.com/properti/semarang-citragrand/hanya-800-jutaan-termurah-di-citragrand-tembalang-rumah-siap-huni-hos19364337/,895000000.0,Hanya 800 Jutaan Termurah Di Citragrand Tembalang Rumah Siap Huni,"Citragrand, Semarang",Citragrand,Semarang,rumah,72.0,72.0,2.0,1.0,1.0
https://www.rumah123.com/properti/solo-solo-baru/rumah-cluster-3-kamar-siap-huni-5-menit-pakuwon-mall-solo-baru-hos39691030/,850000000.0,Rumah Cluster 3 Kamar Siap Huni 5 Menit Pakuwon Mall Solo Baru,"Solo Baru, Solo",Solo Baru,Solo,rumah,132.0,120.0,3.0,2.0,1.0
https://www.rumah123.com/properti/semarang-semarang-tengah/rumah-ready-3-lantai-tengah-kota-semarang-majapahit-raya-gayamsari-dekat-simpanglima-hos41518397/,1850000000.0,Rumah Ready 3 Lantai Tengah Kota Semarang Majapahit Raya Gayamsari Dekat Simpanglima,"Semarang Tengah, Semarang",Semarang Tengah,Semarang,rumah,80.0,160.0,3.0,3.0,2.0
https://www.rumah123.com/properti/semarang-tembalang/rumah-hook-murah-ngesrep-dekat-kampus-undip-tembalang-hos41592604/,3800000000.0,Rumah Hook Murah Ngesrep Dekat Kampus Undip Tembalang,"Tembalang, Semarang",Tembalang,Semarang,rumah,310.0,250.0,5.0,4.0,4.0
https://www.rumah123.com/properti/semarang-banyumanik/rumah-di-kamfer-raya-siap-untuk-cafebakerykantor-dll-hos17192983/,3200000000.0,"Rumah di Kanfer Raya , Dekat Undip Siap untuk Cafe,Bakery,Kantor","Banyumanik, Semarang",Banyumanik,Semarang,rumah,176.0,270.0,4.0,3.0,4.0
https://www.rumah123.com/properti/solo-colomadu/rumah-etnik-kayu-jati-di-colomadu-solo-hos2549264/,8000000000.0,Rumah etnik kayu jati di colomadu solo,"Colomadu, Solo",Colomadu,Solo,rumah,1000.0,700.0,6.0,3.0,5.0
https://www.rumah123.com/properti/solo-colomadu/rumah-baru-perumahan-di-colomadu-solo-hos6539936/,500000000.0,Rumah baru perumahan di colomadu solo,"Colomadu, Solo",Colomadu,Solo,rumah,104.0,50.0,2.0,1.0,1.0
https://www.rumah123.com/properti/solo-solo-baru/rumah-bagus-siap-pakai-di-perumahan-solo-baru-hos13904866/,800000000.0,Rumah Bagus Siap Pakai di Perumahan Solo Baru,"Solo Baru, Solo",Solo Baru,Solo,rumah,100.0,65.0,3.0,2.0,1.0
https://www.rumah123.com/properti/solo-colomadu/rumah-murah-siap-pakai-dekat-tol-bandara-adi-soemarmo-boyolali-solo-hos39313645/,400000000.0,Rumah Murah Siap Pakai Dekat Tol Bandara Adi Soemarmo Boyolali Solo,"Colomadu, Solo",Colomadu,Solo,rumah,90.0,45.0,2.0,1.0,2.0
https://www.rumah123.com/properti/solo-colomadu/rumah-murah-di-perumahan-fajar-indah-solo-hos13656169/,1000000000.0,Rumah Murah Di Perumahan Fajar Indah Solo,"Colomadu, Solo",Colomadu,Solo,rumah,127.0,100.0,4.0,2.0,1.0
https://www.rumah123.com/properti/solo-solo-baru/rumah-baru-minimalis-di-cluster-elite-solo-baru-hos39335572/,1500000000.0,Rumah Baru Minimalis Di Cluster Elite Solo Baru,"Solo Baru, Solo",Solo Baru,Solo,rumah,134.0,90.0,3.0,2.0,2.0
https://www.rumah123.com/properti/semarang-sambiroto/rumah-murah-siap-huni-dekat-rsud-wongsonegoro-hos41524416/,525000000.0,Rumah Murah Siap Huni Dekat Rsud Wongsonegoro,"Sambiroto, Semarang",Sambiroto,Semarang,rumah,69.0,84.0,3.0,1.0,1.0
https://www.rumah123.com/properti/semarang-banyumanik/rumah-siap-huni-durian-banyumanik-hos41606720/,1100000000.0,Rumah Siap Huni Durian Banyumanik,"Banyumanik, Semarang",Banyumanik,Semarang,rumah,83.0,80.0,3.0,2.0,1.0
